file,main_label,sub_label,label_path,primary_category,tags,label_source,scale,distribution,density,blend_mode,confidence,enabled,review_status,coverage,bright_coverage,edge_bias,anisotropy,edge_density,coarse_ratio,component_density,largest_component
049.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.163796,0.011140,1.1842,0.0257,0.216216,0.1660,17204.39,0.1091
050.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,medium,screen,0.97,1,manual_visual,0.063955,0.013396,1.3381,0.0390,0.109648,0.0416,11606.45,0.0069
051.jpg,structure,tear_missing,structure--tear_missing,tear_missing,edge_wear;stain;tear_missing,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.348438,0.083086,0.8720,0.0066,0.229016,0.5074,8596.19,0.4434
052.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.119560,0.005720,0.6426,0.0123,0.200276,0.1071,13348.43,0.0137
053.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.029485,0.005430,0.6651,0.0896,0.044097,0.0871,3916.02,0.0455
054.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.016786,0.000381,0.6841,0.0349,0.051562,0.0507,3388.30,0.0047
055.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.210625,0.012043,2.2943,0.0421,0.212847,0.3091,14145.51,0.0657
056.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;stain;surface_wear,manual_visual,fine,edge,medium,multiply,0.97,1,manual_visual,0.146398,0.026619,3.2072,0.0445,0.131910,0.4751,8953.99,0.2595
057.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;stain,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.244346,0.029245,0.7457,0.0712,0.174020,0.4724,9267.58,0.5351
058.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,linear,directional,dense,multiply,0.97,1,manual_visual,0.186172,0.005838,0.5466,0.1207,0.241654,0.1940,19496.53,0.1148
059.jpg,structure,fold,structure--fold,fold,fold,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.020438,0.000360,0.0399,0.0888,0.048902,0.2235,3007.81,0.0183
060.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,medium,screen,0.97,1,manual_visual,0.086183,0.010574,1.1168,0.0272,0.155483,0.0813,14537.18,0.0186
061.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.086411,0.000972,0.1295,0.0445,0.124414,0.3990,8506.94,0.1412
062.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.227922,0.034631,1.1151,0.0385,0.211833,0.2347,14162.60,0.1574
063.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.389454,0.023508,0.8893,0.0336,0.316840,0.2204,23912.61,0.1222
064.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.268896,0.002163,0.4845,0.0110,0.210019,0.4976,9792.15,0.3715
065.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.082821,0.001172,0.2991,0.0736,0.125634,0.3430,8758.68,0.0494
066.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,linear,directional,medium,multiply,0.97,1,manual_visual,0.110860,0.005828,0.1491,0.2234,0.132058,0.3306,11883.38,0.0796
067.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.134390,0.017858,0.8354,0.0186,0.188362,0.1324,15085.69,0.0548
068.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.180768,0.087402,3.9294,0.0371,0.104401,0.8050,3421.22,0.7279
069.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,medium,screen,0.97,1,manual_visual,0.030349,0.003749,1.0174,0.0490,0.071354,0.0277,7421.87,0.0138
070.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear,manual_visual,fine,edge,medium,multiply,0.97,1,manual_visual,0.138674,0.034658,0.8084,0.0115,0.147947,0.2127,13916.02,0.0776
071.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,medium,screen,0.97,1,manual_visual,0.031810,0.001962,0.8604,0.0012,0.089565,0.0263,6874.48,0.0062
072.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.018095,0.000295,0.3112,0.0814,0.052261,0.0967,2960.07,0.0191
073.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.107473,0.001333,0.3018,0.0683,0.174699,0.2383,13043.48,0.0258
074.jpg,area,stain,area--stain,stain,stain;surface_wear,manual_visual,linear,directional,dense,multiply,0.97,1,manual_visual,0.467813,0.027067,0.8199,0.2017,0.247161,0.5222,10081.38,0.5745
075.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.132322,0.005416,0.5657,0.0117,0.183983,0.1530,12068.21,0.0869
076.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,linear,directional,dense,multiply,0.97,1,manual_visual,0.172790,0.013473,1.0102,0.1302,0.219258,0.1957,21184.90,0.1102
077.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.296576,0.012623,0.5246,0.0191,0.282714,0.2329,22863.88,0.1420
078.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.151291,0.007210,0.5781,0.0965,0.222053,0.2359,17558.50,0.0717
079.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,dense,screen,0.97,1,manual_visual,0.192328,0.009255,0.9515,0.0238,0.289193,0.0337,28649.35,0.0057
080.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.144018,0.013045,0.6482,0.0253,0.194696,0.1335,17676.99,0.0801
081.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.317448,0.050421,14.9158,0.0923,0.163212,0.9042,7230.90,0.6007
082.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.054423,0.008755,1.6075,0.0189,0.103962,0.0662,10984.40,0.0172
083.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.117863,0.003054,0.1109,0.0281,0.146515,0.3377,16745.92,0.0194
084.jpg,area,stain,area--stain,stain,mold;stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.125242,0.013523,0.8049,0.0389,0.197300,0.0884,18330.08,0.0098
085.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.135088,0.012654,0.8240,0.0408,0.201050,0.0898,19313.74,0.0508
086.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,medium,screen,0.97,1,manual_visual,0.061206,0.012349,1.0640,0.0260,0.097224,0.0472,10185.55,0.0048
087.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.134475,0.005876,0.6183,0.0207,0.199407,0.1470,17177.73,0.0186
088.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.156693,0.008090,0.8546,0.0529,0.258940,0.0602,24722.13,0.0113
089.jpg,structure,fold,structure--fold,fold,fold,manual_visual,linear,directional,dense,screen,0.97,1,manual_visual,0.189336,0.001997,0.3340,0.0509,0.199019,0.3967,13845.49,0.0359
090.jpg,area,stain,area--stain,stain,stain,manual_visual,linear,directional,medium,multiply,0.97,1,manual_visual,0.057302,0.009937,0.1192,0.1380,0.074976,0.1862,7211.07,0.0526
091.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.246814,0.114287,0.5156,0.0589,0.148105,0.6725,4536.13,0.5071
092.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.011863,0.001958,0.9090,0.0383,0.024707,0.0462,2210.19,0.0361
093.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.053503,0.020671,1.9703,0.0471,0.067917,0.1334,7143.55,0.0328
094.jpg,area,stain,area--stain,stain,stain;surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.195312,0.002943,0.7517,0.0632,0.237995,0.3050,19101.56,0.0930
095.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.109575,0.001259,0.3826,0.0264,0.186020,0.2243,15264.76,0.0335
096.jpg,area,surface_wear,area--surface_wear,surface_wear,scratch;surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.364571,0.063748,0.9599,0.0178,0.339945,0.2039,37595.55,0.1503
097.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.078757,0.015836,1.5246,0.0194,0.090987,0.2818,6516.37,0.1014
098.jpg,area,stain,area--stain,stain,stain;surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.373414,0.020630,0.7218,0.0096,0.293398,0.3889,15366.54,0.2737
099.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,medium,multiply,0.97,1,manual_visual,0.056424,0.007062,4.6495,0.0749,0.062214,0.3959,3962.67,0.1620
100.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.009813,0.001304,1.1276,0.0098,0.024293,0.0221,2605.02,0.0143
101.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.244086,0.053289,0.9671,0.0344,0.227078,0.4410,17233.34,0.2636
102.jpg,detail,dust,detail--dust,dust,dust;edge_wear,manual_visual,fine,edge,sparse,screen,0.97,1,manual_visual,0.023362,0.007129,3.1445,0.0292,0.036865,0.0647,4377.44,0.0607
103.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.150942,0.012114,1.0599,0.0096,0.180752,0.2048,14567.87,0.0423
104.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.091140,0.005845,0.9574,0.0046,0.166719,0.1355,15576.17,0.0283
105.jpg,structure,fold,structure--fold,fold,fold,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.007400,0.000065,0.0491,0.0979,0.018832,0.2593,950.52,0.0680
106.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.039956,0.012627,0.8448,0.2113,0.049135,0.1125,4817.05,0.0300
107.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.312653,0.066400,1.2769,0.0406,0.210309,0.6670,12662.76,0.7389
108.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.009449,0.000616,0.5766,0.0665,0.028108,0.0456,2026.91,0.0162
109.jpg,detail,crack,detail--crack,crack,crack,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.039735,0.004515,0.9302,0.0725,0.061514,0.0490,4913.54,0.0063
110.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.089961,0.020552,0.6009,0.0648,0.114260,0.1621,11003.42,0.0947
111.jpg,area,stain,area--stain,stain,dust;stain,manual_visual,fine,sparse,sparse,multiply,0.97,1,manual_visual,0.017305,0.000990,0.2681,0.0391,0.040881,0.1252,3077.26,0.0711
112.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.202453,0.009014,0.0594,0.0042,0.128632,0.6486,7406.85,0.7814
113.jpg,area,stain,area--stain,stain,stain,manual_visual,linear,directional,medium,multiply,0.97,1,manual_visual,0.062591,0.006204,0.1265,0.2055,0.097077,0.1569,8385.42,0.0136
114.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,sparse,medium,multiply,0.97,1,manual_visual,0.032079,0.001953,0.5324,0.0256,0.080117,0.0652,5998.26,0.0264
115.jpg,structure,tear_missing,structure--tear_missing,tear_missing,edge_wear;tear_missing,manual_visual,fine,edge,medium,multiply,0.97,1,manual_visual,0.119303,0.029232,1.2129,0.0894,0.135576,0.7209,7327.47,0.4743
116.jpg,detail,crack,detail--crack,crack,crack,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.023516,0.007627,1.5531,0.0574,0.034331,0.0448,3303.22,0.0230
117.jpg,detail,scratch,detail--scratch,scratch,scratch;surface_wear,manual_visual,linear,directional,dense,screen,0.97,1,manual_visual,0.169800,0.006777,1.0415,0.2135,0.235916,0.1775,17216.77,0.0421
118.jpg,area,stain,area--stain,stain,dust;stain,manual_visual,multi_scale,sparse,medium,multiply,0.97,1,manual_visual,0.043594,0.007725,0.3240,0.0130,0.044981,0.2491,2189.45,0.1168
119.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.236732,0.049118,1.4193,0.0295,0.250492,0.5478,23434.24,0.4580
120.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,sparse,multiply,0.97,1,manual_visual,0.013467,0.000511,1.2888,0.0143,0.036253,0.0655,2607.42,0.0150
121.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.290869,0.013122,0.8674,0.0245,0.272653,0.3615,21523.44,0.1589
122.jpg,detail,scratch,detail--scratch,scratch,scratch;surface_wear,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.084888,0.006333,1.9855,0.2482,0.156067,0.0612,15305.18,0.0056
123.jpg,structure,fold,structure--fold,fold,fold;surface_wear,manual_visual,linear,edge,dense,screen,0.97,1,manual_visual,0.279480,0.066394,2.0697,0.3077,0.211045,0.3799,11416.02,0.0961
124.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.121568,0.026947,1.0112,0.1819,0.120788,0.2257,7858.04,0.0834
125.jpg,area,stain,area--stain,stain,stain;surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.263350,0.003763,0.3205,0.0470,0.175785,0.4924,16282.55,0.1012
126.jpg,structure,fold,structure--fold,fold,fold;surface_wear,manual_visual,linear,directional,dense,screen,0.97,1,manual_visual,0.257602,0.017613,0.1379,0.1579,0.151854,0.6923,5811.25,0.8478
127.jpg,detail,scratch,detail--scratch,scratch,dust;scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.046445,0.006191,1.1604,0.0677,0.100759,0.0342,9167.48,0.0169
128.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.302539,0.118714,4.3653,0.0215,0.254349,0.9190,16565.76,0.8546
129.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.012923,0.000641,0.8109,0.0194,0.041751,0.0342,3118.49,0.0102
130.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.112044,0.008765,1.2979,0.0441,0.162523,0.1578,14458.15,0.0469
131.jpg,structure,fold,structure--fold,fold,fold;surface_wear,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.075716,0.001619,0.0764,0.0722,0.095347,0.4316,6879.34,0.1818
132.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.240413,0.114521,0.5556,0.0550,0.140583,0.6617,4125.98,0.4997
133.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.267931,0.017608,1.5730,0.0174,0.286823,0.1633,22059.50,0.0338
134.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.427773,0.032982,0.8514,0.0563,0.318607,0.3293,21775.17,0.2263
135.jpg,detail,crack,detail--crack,crack,crack,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.044594,0.004919,1.5924,0.0173,0.075478,0.1034,6499.18,0.0529
136.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.019889,0.002132,1.7980,0.0176,0.043447,0.0561,3414.71,0.0243
