"seq","origin_filename","source_id","filename","dataset_kind","provider","source_url","license","rights_url","sha256","origin_sha256","width","height","content_type","color_mode","quality_label","split","source_path"
"0015","wikimedia_135995157_Historical_photographs_of_port_of_Antwerp.jpg.jpg","commons_135995157","0015.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photographs_of_port_of_Antwerp.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","b084062b483c6932efd7a6172d53d3ebe1b97c3ef8d5247e1005a5cb0f73b5fd","8207bead0d6c7e76a74c57020febf788ae0ce73ddbf92c4280b026ac80cf041d","2048","1977","outdoor_scene","RGB","existing_damage","train","images/0015.png"
"0016","wikimedia_136194241_Historical_photographs_of_Oxford.jpg.jpg","commons_136194241","0016.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photographs_of_Oxford.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","6e8e91020d92f1a52caeb0722c216982e6d591e1e8e60ed052719980fe690516","d426c6239af41e7b431455b4fb4c4c84299e2b898df020b8ef72011976509445","1795","2048","outdoor_scene","RGB","existing_damage","test","images/0016.png"
"0017","wikimedia_136464210_Historical_photograph_of_Fisherman's_Bastion.jpg.jpg","commons_136464210","0017.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Fisherman%27s_Bastion.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","8d55d02b431dbac579414e580c575fbfe2fb62b2ac04fd1fe36a62314fc755ff","6f8986f221662ab0c4a06251cf7c62b694f01aadc797ba8115abe6bb39816819","2560","2375","outdoor_scene","RGB","existing_damage","train","images/0017.png"
"0018","wikimedia_15963624_The_Nine_Sovereigns_at_Windsor_for_the_funeral_of_King_Edward_VII.jpg.jpg","commons_15963624","0018.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:The_Nine_Sovereigns_at_Windsor_for_the_funeral_of_King_Edward_VII.jpg","Public domain","","aa6c14057e4a8e9afc1ad445e2d9650d5d02c067376968fd0afc3aa5e7e61167","7b5b46486a11a0ce35d1e2fbb431c6991aee930398354e3def43579607451af7","2000","1452","group_portrait","RGB","existing_damage","test","images/0018.png"
"0020","wikimedia_24718776_Louis_Désiré_Blanquart-Evrard_1869_photograph_BNF_Gallica.jpg.jpg","commons_24718776","0020.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Louis_D%C3%A9sir%C3%A9_Blanquart-Evrard_1869_photograph_BNF_Gallica.jpg","Public domain","","eb6d8d2ffab91abe6f6086771c9c549126d799d53a8848c88ecd7f4187fad54c","7dc49cb4b07a63121392daae37ccae90b8d1eddaab3796f047368df22a72d248","2505","3200","single_portrait","RGB","existing_damage","validation","images/0020.png"
"0021","wikimedia_2780533_Ida_Husted_Harper_photograph_by_Aime_Dupont.jpg.jpg","commons_2780533","0021.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Ida_Husted_Harper_photograph_by_Aime_Dupont.jpg","Public domain","","2ac621feceb9ce3bc9d8b5cf6d6fac0aaee746025c17fdc0014c10ade4f86b03","34998bdb83ea4d5f85305ef76dba040f07873bdec7a5b9aeb455ed90ee7b7c9f","2186","2935","single_portrait","RGB","existing_damage","test","images/0021.png"
"0026","wikimedia_91475514_Gilbert_Studios_photograph_of_Harriet_Jacobs.jpg.jpg","commons_91475514","0026.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Gilbert_Studios_photograph_of_Harriet_Jacobs.jpg","Public domain","","e72e23c70cf389fe3f1dcb629caf9befd79b0bd870a42f7b22b3bba6db3b29e0","b00b3a09b0ec6ceffb2c072c13278d8a276bfbaeee2574a20614a89123ee70a1","2091","3200","single_portrait","RGB","existing_damage","train","images/0026.png"
"0027","cma_150113_Rue_du_Regard.tif","cma_150113","0027.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1980.35","CC0","https://www.clevelandart.org/open-access","599ebfc41ed5a2f1075c3e13caac840c939ace3c2bd335c5573cfdde4cc86b46","0d613e3d5c1ecb9e31ce0e08f42a8e39bdf4ee1dba7e9e075e56b043f0b2718d","2131","2560","outdoor_scene","RGB","existing_damage","train","images/0027.png"
"0028","cma_152229_Rue_de_la_Montagne-Sainte-Geneviève.tif","cma_152229","0028.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.115","CC0","https://www.clevelandart.org/open-access","2f8ea1fa02833213c47ea72110c1c0e806c5e33017e2f74cb06cff30cba94c58","2f18e6834cfac9270e171e0ccf24cb96639bb85e5acdf42fd787622041c813c8","2003","2560","outdoor_scene","RGB","existing_damage","train","images/0028.png"
"0029","cma_152264_Trophy_of_the_Hunt.tif","cma_152264","0029.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.144","CC0","https://www.clevelandart.org/open-access","154bdfe5ee4650162634862c4530261622a21f16dee749f4f77a67601c5fb3a6","cbaf3ec37903290e79367c237e91b893c5add401a62f55ea40c2ca4cebe66034","1961","2560","other","RGB","existing_damage","train","images/0029.png"
"0030","cma_152349_Untitled.tif","cma_152349","0030.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.203","CC0","https://www.clevelandart.org/open-access","853dd8150d9162505e0e9acb62e6a51b510f763c636f16362f9ea48f90d9928b","b4531bf52fd84e834c296103f5cea62bed27e5c84ddea3d787deec2932e8a244","1622","2048","single_portrait","RGB","existing_damage","test","images/0030.png"
"0031","cma_152859_Mount_Maudit,_Savoy.tif","cma_152859","0031.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.94","CC0","https://www.clevelandart.org/open-access","45ef6a5c03eb0e1636987e0255125f5378f03faef513b6c5b16d053394140bce","143cbbb6413e4f27f910bf9d669ecff06966e0ad8793b5afe98662b5f35125e2","2560","1515","outdoor_scene","RGB","existing_damage","train","images/0031.png"
"0032","cma_153706_Great_Pagoda,_Great_Bull,_Front_View,_Tanjore,_India_(Rajarajeshvara_Temple),_pl.tif","cma_153706","0032.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1987.218","CC0","https://www.clevelandart.org/open-access","10e4f11872eee0046cbd251f2d0526a4c92b2e72a5723b92e382388d26a01fce","f66c0901fec4e4dc7897633bf304fdffd4031d8eaa98293d2c30ea14c390318d","2560","1802","architecture","RGB","existing_damage","validation","images/0032.png"
"0033","cma_154075_Sky_Study,_Paris.tif","cma_154075","0033.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1988.191","CC0","https://www.clevelandart.org/open-access","e62119aa485ca98b101e561faceee7a21d8117a249b405ac25d304f7ce23ed32","cbf323b05b8e80fa20185d576a4c06d8211ac277a1810a4b7c90860725717a89","2560","1833","outdoor_scene","RGB","existing_damage","train","images/0033.png"
"0034","cma_155006_Notre_Dame_de_Paris.tif","cma_155006","0034.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1989.56","CC0","https://www.clevelandart.org/open-access","29cdf2d77229956b528a8010d546773c538f598c4435809602d61b8a60632464","b52b9d9008a36b278884a34a226bf4743170f8a398523c9b03e5b6fd965bc6c8","2017","2560","architecture","RGB","existing_damage","train","images/0034.png"
"0035","cma_155857_Pavilion_Richelieu,_Louvre,_Paris.tif","cma_155857","0035.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.160","CC0","https://www.clevelandart.org/open-access","b2f2129977fda4d6633dd3dfec71fc954af43c15ea7a3decc74d609b9fbe0c3a","ff3782d509e53434df140bbb740f67c1ab3b24e69eacc310cbc9586d95f3c30e","1973","2560","architecture","RGB","existing_damage","train","images/0035.png"
"0036","cma_156283_Bridal_Veil,_Yosemite.tif","cma_156283","0036.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1992.12","CC0","https://www.clevelandart.org/open-access","1de081d8d5851f7ebe75d7aa97f2fd022e9bf4b1425452aa7b54ff1f20a31ea4","2d7a028d50fe35a7d3f7df63bc15b868ba6d3c687f0ed255a1a5f2641241c85a","2560","2062","outdoor_scene","RGB","existing_damage","train","images/0036.png"
"0037","cma_156525_Fallen_Statue_at_the_Ramesseum,_Thebes.tif","cma_156525","0037.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1992.236","CC0","https://www.clevelandart.org/open-access","89600aa9414b5ba2df75d8dbe27baf8bd7f59f6253b480edebf22f76489783d0","86d222942e7d1319d7444756d74e29034482fe0bc2d435ed676a7dff88db0133","2560","2038","architecture","RGB","existing_damage","train","images/0037.png"
"0038","cma_157339_The_Tiber,_Tuileries_Garden,_Paris.tif","cma_157339","0038.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1994.201","CC0","https://www.clevelandart.org/open-access","7ff9bd504e44939bd95051dbffe4261e63f200aa0fa9c96697a8d981b423c562","0a3289ad62de1579137e6b5b5c7625fb1e8052df256ac0f482e0355a44dfc999","2560","2009","other","RGB","existing_damage","train","images/0038.png"
"0039","cma_157680_Monsieur_Merlen.tif","cma_157680","0039.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1995.179","CC0","https://www.clevelandart.org/open-access","719084c1af38c4855f6726beef26a0289ad92f2d28b86e6e2c018ee06be92d7b","f497b110dd127cf02b55bbe443f03d97564b677605a8dfaa2b1087bb4a7d8605","2560","2206","single_portrait","RGB","existing_damage","train","images/0039.png"
"0040","cma_159071_Gorge_at_Eaux_Chaudes,_Pyrenees.tif","cma_159071","0040.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1995.27","CC0","https://www.clevelandart.org/open-access","837e428cedf39d135cb945e56f1a1b9c44ea1742c9095301482cb210fc77914d","2dcb86026807d7e2aee9598afbf3049c306ce3c8ecfa0203baaf9ec9fed32f27","1855","2560","outdoor_scene","RGB","existing_damage","validation","images/0040.png"
"0041","cma_159467_Pont-de-Buis,_on_the_Doufine,_France.tif","cma_159467","0041.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1996.242","CC0","https://www.clevelandart.org/open-access","7187bd4dd3566b768c2e4c6ab1eecfec11652bef8fe56c03965b23b95e823cde","9ee874d39969ad59fdea92360dda7e9fe71cfb7984b378d1ae8e32efd44187e6","1901","2560","outdoor_scene","RGB","existing_damage","train","images/0041.png"
"0042","cma_159470_Sarah_Bernhardt_in__Zaire__by_Voltaire.tif","cma_159470","0042.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1996.245","CC0","https://www.clevelandart.org/open-access","8b6a6a99fb284835e199bc3e16bd3d725722eaabfca8dcb08a44e859457e5dbe","d562d07d72f9d6bdd8ea6de1c79230d90b7468355f29c45626a8a2128a90762c","2008","2560","single_portrait","RGB","existing_damage","train","images/0042.png"
"0043","cma_160087_Self-Portrait_in_Painting_Studio.tif","cma_160087","0043.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1997.56","CC0","https://www.clevelandart.org/open-access","51254711848e3dcb99c4aa69c7fbc48d58c9398ace0c8a55738a7e36a10013c7","6f32777aecdbcc09f2993cb8bef2ac5cc664c1c3ff9ea41c7de3f68c7441b84b","1949","2560","single_portrait","RGB","existing_damage","train","images/0043.png"
"0044","cma_160778_Woman_in_Lorraine_Dress.tif","cma_160778","0044.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1999.109","CC0","https://www.clevelandart.org/open-access","30ee891aa80a52e81657e742138017bf2f8c1fbf7857a8c3b248bed2dc760d6d","ccb514659ccdb1ec66825273aa030741b4616dd64ef5c2bf23d19f38ec3441a1","1837","2560","single_portrait","RGB","existing_damage","train","images/0044.png"
"0045","cma_163453_Behind_the_Troglodyte_Farm.tif","cma_163453","0045.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/2004.32","CC0","https://www.clevelandart.org/open-access","2173c743c97d2bd140a6cab9a9c01bbf8093c7da46d44504c502d945204eb6b3","bf6e5ec03f25fa2b8bffa8235a319550e1cc0fae885e42a3fc04dd2f8aa9ce45","1925","2560","architecture","RGB","existing_damage","train","images/0045.png"
"0046","cma_680650_Maharaja_Ranbir_Singh_of_Jammu_and_Kashmir_with_Sons_and_Courtiers.tif","cma_680650","0046.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/2024.80","CC0","https://www.clevelandart.org/open-access","c157b75f9bfdf52c4dacfb7a326e60ad0034beebc4df7d090a59433fc6b903d2","5bdc42e9a6c4f17095ea69f98bebfb0c694a568a2c6def1ecaaf1ffb74d5f0cc","2560","1955","group_portrait","RGB","existing_damage","train","images/0046.png"
"0047","digitaltmuseum_S-UM_ED05974_Valö_kyrka,_Uppland.webp","digitaltmuseum_S-UM_ED05974","0047.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-UM/ED05974","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","85d4f5d4da1ce005ee9fb3be0cff0233a4e9b87df7f39e96981da15c35b0b510","c5ddec24737e164a4f591776dc256da3e5e505dc0f9a2d15e2d5d82fd54266f4","1601","2048","indoor_scene","RGB","existing_damage","train","images/0047.png"
"0048","digitaltmuseum_S-TEK_TEKA0013113_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013113","0048.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013113","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","8c5d95c5cbe37df72cca4a63e0d6a11c60875f22d6cafc3d80fc591811a99e9e","46f910caadecef07fc6aea0068961390b0f7c2baf85f2fedd3b2ada59fa5c264","2048","1537","other","RGB","existing_damage","train","images/0048.png"
"0049","digitaltmuseum_S-TEK_TEKA0013114_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013114","0049.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013114","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","e8cdc90c8b7ecfcce72f249af2aed81e5ad07b4a08342622c112a4a0e61543c0","3abc41e6eda41278ae9076a72904fba78c129c59c335701f95edab1a21bcbf66","2048","1545","other","RGB","existing_damage","train","images/0049.png"
"0050","digitaltmuseum_S-TEK_TEKA0013115_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013115","0050.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013115","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","4d742b7908a7881034ee47ccd879a94b91c4aad96e7e08b804ff41708084cb44","36640cb1d5a1de475c73193520ea4528b3de676075457e86870df14592d7d96a","2048","1549","other","RGB","existing_damage","train","images/0050.png"
"0051","digitaltmuseum_S-TEK_TEKA0013116_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013116","0051.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013116","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","1ba3d3288f12fd0e897cc8242e116082b0be2f47849504dbc0e59b7301576213","0987142b62cc9915d48542845a99db04271f11819ae592e0fee060d13f72d25f","2048","1540","other","RGB","existing_damage","train","images/0051.png"
"0052","digitaltmuseum_S-TEK_TEKA0013137_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013137","0052.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013137","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","52e18598fe85b00933d4e8249678a27e8772d1fb45f99987a26a8c336706386a","e05d3644d241b2eeaef81d72a18bb57e2558169e56d3511728a0b9bb3db76277","2048","1550","other","RGB","existing_damage","train","images/0052.png"
"0053","digitaltmuseum_S-TEK_TEKA0013138_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013138","0053.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013138","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","6cfa2dc379ede0d192d33f18808b35755800074110359ca31ee11fbdb558dd7e","01af8b862b9744ef56d8bde993fcf2f3ebe92365e775295335ddaf95c9d6966c","2048","1551","other","RGB","existing_damage","validation","images/0053.png"
"0054","digitaltmuseum_S-TEK_TEKA0013140_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin._FM_2.webp","digitaltmuseum_S-TEK_TEKA0013140","0054.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013140","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","91a9b1ee5d76d1daf4250f7c754a813e7275393ad6303d7279f1227baaa16f8f","1ff05f5b949aacdeb1bcea881023f64e5f1b2f61cc263231a9aabf731aa4d7ad","2048","1542","other","RGB","existing_damage","train","images/0054.png"
"0055","digitaltmuseum_S-TEK_TEKA0013141_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin._FM_2.webp","digitaltmuseum_S-TEK_TEKA0013141","0055.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013141","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","0d70e8ff7ba826c05537b421f9dbaf58be5d9f3245e84f1b01994a6a38cef5df","6c50c0b0e5de56988a8d05e41fef2a85c3ef11332f0df2ede2d4ca2335835fc1","1543","2048","other","RGB","existing_damage","train","images/0055.png"
"0056","digitaltmuseum_S-TEK_TEKA0013142_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013142","0056.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013142","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","e8de32222059fb30101ed90cd2c2d22e1bdef09d3480891a8dc2f62a13096059","c6f7e61d54e1941ff0e3b4535dce09c11c49c305bfec0dc3efd8ce4180c1c0ea","2048","1509","other","RGB","existing_damage","train","images/0056.png"
"0057","digitaltmuseum_S-TEK_TEKA0013146_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013146","0057.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013146","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","36049fa92dcfd8abb836ecac5e07a1b62de293c8f5962ab8c9ce1018b609fe39","b8f9b9a3669d3a7e7eb821aeae40e42edf82330c4ee3ba62d62b59c63f5cef82","1540","2048","other","RGB","existing_damage","test","images/0057.png"
"0058","digitaltmuseum_S-TEK_TEKA0013196_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013196","0058.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013196","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","a9a939b2d2c9517c579a2d93925415519727a959a43de054876a6606cb2c6662","4c3f7397b536669aedfeace6816b1ea000e9359b47b196ca3fb06435855581a0","2048","1549","other","RGB","existing_damage","test","images/0058.png"
"0059","digitaltmuseum_S-TEK_TEKA0013197_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013197","0059.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013197","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","82b5aa5562618ce049919d25d5b5108a358b3607b106162f791ec8d21f2cd5f1","3c8b9db6029218cfba19abb2bae456f35c7d5a0d2d4f29294dd98280e5e60a71","2048","1558","other","RGB","existing_damage","validation","images/0059.png"
"0060","digitaltmuseum_S-TEK_TEKA0013198_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin.webp","digitaltmuseum_S-TEK_TEKA0013198","0060.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013198","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","987da0c05a197a1ca5622ea71848229ae7a9a64bd408503befed036c261bbeab","3d88c28b68e0db00b818ad104dbcb0c0a3786a97fa5c2fe5fb2916dde94f1f83","2048","1538","other","RGB","existing_damage","train","images/0060.png"
"0061","digitaltmuseum_S-TEK_TEKA0013199_Bild_tillhörande_samling_glasnegativ_med_motiv_från_AB_de_Lavals_Ångturbin._Ångt.webp","digitaltmuseum_S-TEK_TEKA0013199","0061.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0013199","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","bc212fd8e4d33c9cb91de1c97037a24c0f4fddd9facb571039138a5a3984f54d","bcb3c2da994d5f56bd223aad52158ba52c3e644ef4f71af8b134d1deee3513f2","2048","1545","other","RGB","existing_damage","train","images/0061.png"
"0062","digitaltmuseum_S-TEK_TEKA0016200_Hantverkets_propagandautställning__Rumsinteriör_(Tennföremål)._Anordnare_Stockho.webp","digitaltmuseum_S-TEK_TEKA0016200","0062.png","real_damaged","DigitaltMuseum","https://digitaltmuseum.org/S-TEK/TEKA0016200","Public Domain","https://creativecommons.org/publicdomain/mark/1.0/","76c4ab330cb0168817baf3a38f118efc289139dcbd5de2be525502388621dc3e","b6448f983fc4c38d6c4ec5b58136c2718d88cf6a8e85a38ceb9f399b55eca120","2048","1568","indoor_scene","RGB","existing_damage","train","images/0062.png"
