"source_id","filename","quality_label","color_mode","damage_label_method","damage_label_list","damage_scratch","damage_crack","damage_fold","damage_dust","damage_stain","damage_mold","damage_tear","damage_missing_region","damage_fading","damage_color_cast","damage_blur","damage_noise","damage_jpeg_artifact","damage_uneven_exposure","confidence_scratch","confidence_crack","confidence_fold","confidence_dust","confidence_stain","confidence_mold","confidence_tear","confidence_missing_region","confidence_fading","confidence_color_cast","confidence_blur","confidence_noise","confidence_jpeg_artifact","confidence_uneven_exposure","evidence_scratch","evidence_crack","evidence_fold","evidence_dust","evidence_stain","evidence_mold","evidence_tear","evidence_missing_region","evidence_fading","evidence_color_cast","evidence_blur","evidence_noise","evidence_jpeg_artifact","evidence_uneven_exposure","texture_match_label_list","texture_match_scores","texture_match_files"
"commons_126834742","0012.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8399","0.8450","0.9221","0.8440","0.9557","0.9597","0.9673","0.8871","0.9900","0.9900","0.9900","0.9181","0.9899","0.9866","0.0167","0.0086","0.0332","0.0157","0.0406","0.0310","0.0264","0.0217","0.0000","0.0031","0.3562","0.8657","0.4058","0.9564","","{""crack"": 0.0086, ""dust"": 0.0157, ""fold"": 0.0332, ""missing_region"": 0.0217, ""mold"": 0.031, ""scratch"": 0.0167, ""stain"": 0.0406, ""tear"": 0.0264}","{}"
"commons_126847690","0013.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.7752","0.7707","0.7694","0.7408","0.8439","0.8084","0.7488","0.6422","0.9900","0.9900","0.9900","0.9197","0.9768","0.9748","0.0350","0.0297","0.0899","0.0435","0.1062","0.1129","0.1357","0.0861","0.1792","0.0045","0.3182","0.8667","0.6011","0.5470","","{""crack"": 0.0297, ""dust"": 0.0435, ""fold"": 0.0899, ""missing_region"": 0.0861, ""mold"": 0.1129, ""scratch"": 0.035, ""stain"": 0.1062, ""tear"": 0.1357}","{}"
"commons_126847691","0014.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.7965","0.7851","0.7465","0.7390","0.6954","0.7389","0.8885","0.8048","0.9900","0.9900","0.9900","0.9189","0.9886","0.6706","0.0295","0.0261","0.0953","0.0439","0.1436","0.1302","0.0924","0.0503","0.0960","0.0064","0.3182","0.8662","0.5081","0.7503","","{""crack"": 0.0261, ""dust"": 0.0439, ""fold"": 0.0953, ""missing_region"": 0.0503, ""mold"": 0.1302, ""scratch"": 0.0295, ""stain"": 0.1436, ""tear"": 0.0924}","{}"
"commons_135995157","0015.png","existing_damage","black_white","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.7973","0.7835","0.9043","0.8013","0.9088","0.9615","0.9212","0.8768","0.9900","0.9900","0.9900","0.8714","0.9899","0.5214","0.0293","0.0265","0.0437","0.0286","0.0786","0.0284","0.0747","0.0262","0.1219","0.0000","0.3182","0.8426","0.3705","0.7236","","{""crack"": 0.0265, ""dust"": 0.0286, ""fold"": 0.0437, ""missing_region"": 0.0262, ""mold"": 0.0284, ""scratch"": 0.0293, ""stain"": 0.0786, ""tear"": 0.0747}","{}"
"commons_136194241","0016.png","existing_damage","black_white","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.7909","0.8145","0.7854","0.8206","0.9092","0.8856","0.8687","0.8719","0.9900","0.9900","0.9900","0.7398","0.9898","0.9690","0.0310","0.0181","0.0859","0.0231","0.0784","0.0860","0.1008","0.0282","0.2335","0.0000","0.3182","0.8046","0.4302","0.5607","","{""crack"": 0.0181, ""dust"": 0.0231, ""fold"": 0.0859, ""missing_region"": 0.0282, ""mold"": 0.086, ""scratch"": 0.031, ""stain"": 0.0784, ""tear"": 0.1008}","{}"
"commons_136464210","0017.png","existing_damage","black_white","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8689","0.8632","0.9170","0.8766","0.9731","0.9715","0.9727","0.9180","0.9900","0.9900","0.9900","0.9189","0.9898","0.9013","0.0063","0.0021","0.0364","0.0036","0.0104","0.0100","0.0148","0.0054","0.0000","0.0000","0.3182","0.8662","0.4180","0.8162","","{""crack"": 0.0021, ""dust"": 0.0036, ""fold"": 0.0364, ""missing_region"": 0.0054, ""mold"": 0.01, ""scratch"": 0.0063, ""stain"": 0.0104, ""tear"": 0.0148}","{}"
"commons_15963624","0018.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8042","0.8355","0.8586","0.8009","0.8867","0.9041","0.9378","0.8229","0.9900","0.9900","0.9900","0.9119","0.9891","0.9748","0.0274","0.0117","0.0637","0.0287","0.0897","0.0770","0.0624","0.0451","0.1923","0.0252","0.3182","0.8619","0.4875","0.5471","","{""crack"": 0.0117, ""dust"": 0.0287, ""fold"": 0.0637, ""missing_region"": 0.0451, ""mold"": 0.077, ""scratch"": 0.0274, ""stain"": 0.0897, ""tear"": 0.0624}","{}"
"commons_24718776","0020.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8068","0.8358","0.8458","0.7994","0.9231","0.9214","0.9572","0.8544","0.9900","0.9900","0.8980","0.6007","0.9900","0.8675","0.0267","0.0116","0.0682","0.0291","0.0699","0.0668","0.0422","0.0348","0.0446","0.0702","0.7255","0.7774","0.3018","0.8011","","{""crack"": 0.0116, ""dust"": 0.0291, ""fold"": 0.0682, ""missing_region"": 0.0348, ""mold"": 0.0668, ""scratch"": 0.0267, ""stain"": 0.0699, ""tear"": 0.0422}","{}"
"commons_2780533","0021.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8359","0.8405","0.9074","0.8304","0.9550","0.9555","0.9528","0.8673","0.9900","0.9900","0.8644","0.7118","0.9900","0.9888","0.0180","0.0101","0.0420","0.0201","0.0414","0.0366","0.0476","0.0300","0.0000","0.0692","0.7401","0.7215","0.2953","1.0000","","{""crack"": 0.0101, ""dust"": 0.0201, ""fold"": 0.042, ""missing_region"": 0.03, ""mold"": 0.0366, ""scratch"": 0.018, ""stain"": 0.0414, ""tear"": 0.0476}","{}"
"commons_91475514","0026.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","color_cast|noise|uneven_exposure","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0.8640","0.8663","0.9456","0.8744","0.9610","0.9658","0.9710","0.8932","0.9900","0.9754","0.9900","0.9197","0.9863","0.9599","0.0082","0.0009","0.0144","0.0045","0.0334","0.0215","0.0189","0.0189","0.0000","0.8946","0.3182","0.8667","0.5480","0.8638","","{""crack"": 0.0009, ""dust"": 0.0045, ""fold"": 0.0144, ""missing_region"": 0.0189, ""mold"": 0.0215, ""scratch"": 0.0082, ""stain"": 0.0334, ""tear"": 0.0189}","{}"
"cma_150113","0027.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8447","0.8508","0.9227","0.8499","0.9194","0.9449","0.9421","0.8478","0.9900","0.9889","0.9900","0.5215","0.9897","0.9824","0.0151","0.0066","0.0328","0.0137","0.0723","0.0483","0.0587","0.0371","0.2535","0.4369","0.3182","0.7637","0.4371","0.5176","","{""crack"": 0.0066, ""dust"": 0.0137, ""fold"": 0.0328, ""missing_region"": 0.0371, ""mold"": 0.0483, ""scratch"": 0.0151, ""stain"": 0.0723, ""tear"": 0.0587}","{}"
"cma_152229","0028.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7812","0.7816","0.8165","0.8031","0.9083","0.9110","0.9390","0.8602","0.9900","0.9900","0.9860","0.9445","0.9900","0.9883","0.0335","0.0270","0.0774","0.0281","0.0789","0.0732","0.0614","0.0327","0.2157","0.0284","0.5911","0.6341","0.3207","0.4559","","{""crack"": 0.027, ""dust"": 0.0281, ""fold"": 0.0774, ""missing_region"": 0.0327, ""mold"": 0.0732, ""scratch"": 0.0335, ""stain"": 0.0789, ""tear"": 0.0614}","{}"
"cma_152264","0029.png","existing_damage","black_white","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7708","0.8311","0.8113","0.7763","0.7722","0.8572","0.9136","0.6965","0.9889","0.9900","0.9900","0.9179","0.9899","0.9895","0.0361","0.0131","0.0789","0.0351","0.1266","0.0974","0.0794","0.0756","0.4456","0.0000","0.3182","0.6544","0.4071","0.4019","","{""crack"": 0.0131, ""dust"": 0.0351, ""fold"": 0.0789, ""missing_region"": 0.0756, ""mold"": 0.0974, ""scratch"": 0.0361, ""stain"": 0.1266, ""tear"": 0.0794}","{}"
"cma_152349","0030.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","blur","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.7894","0.7650","0.8655","0.7815","0.8753","0.8878","0.9105","0.8410","0.6102","0.9900","0.8846","0.9894","0.9900","0.9900","0.0314","0.0311","0.0611","0.0338","0.0946","0.0850","0.0812","0.0394","0.7109","0.0055","0.9082","0.4524","0.2703","0.1998","","{""crack"": 0.0311, ""dust"": 0.0338, ""fold"": 0.0611, ""missing_region"": 0.0394, ""mold"": 0.085, ""scratch"": 0.0314, ""stain"": 0.0946, ""tear"": 0.0812}","{}"
"cma_152859","0031.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8010","0.7928","0.7380","0.8005","0.7677","0.7581","0.8230","0.6681","0.9900","0.9900","0.9900","0.7686","0.9898","0.9554","0.0283","0.0241","0.0972","0.0288","0.1277","0.1258","0.1164","0.0812","0.1661","0.1271","0.3181","0.7087","0.4327","0.5822","","{""crack"": 0.0241, ""dust"": 0.0288, ""fold"": 0.0972, ""missing_region"": 0.0812, ""mold"": 0.1258, ""scratch"": 0.0283, ""stain"": 0.1277, ""tear"": 0.1164}","{}"
"cma_153706","0032.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8314","0.8567","0.8642","0.8443","0.6220","0.8594","0.8368","0.8313","0.9900","0.9900","0.9900","0.8655","0.9879","0.9831","0.0194","0.0045","0.0616","0.0156","0.1576","0.0966","0.1121","0.0425","0.2390","0.2105","0.3182","0.8403","0.5248","0.5139","","{""crack"": 0.0045, ""dust"": 0.0156, ""fold"": 0.0616, ""missing_region"": 0.0425, ""mold"": 0.0966, ""scratch"": 0.0194, ""stain"": 0.1576, ""tear"": 0.1121}","{}"
"cma_154075","0033.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.8092","0.8092","0.5626","0.7858","0.8968","0.9243","0.8957","0.8681","0.9900","0.9900","0.7979","0.9832","0.9900","0.8638","0.0260","0.0196","0.1307","0.0327","0.0849","0.0649","0.0890","0.0297","0.1829","0.1373","0.7612","0.5531","0.3309","0.7996","","{""crack"": 0.0196, ""dust"": 0.0327, ""fold"": 0.1307, ""missing_region"": 0.0297, ""mold"": 0.0649, ""scratch"": 0.026, ""stain"": 0.0849, ""tear"": 0.089}","{}"
"cma_155006","0034.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8031","0.7823","0.8977","0.8078","0.8923","0.9531","0.9498","0.8765","0.9900","0.9897","0.9900","0.7668","0.9898","0.9723","0.0277","0.0268","0.0471","0.0268","0.0871","0.0396","0.0510","0.0263","0.2607","0.3810","0.3182","0.8109","0.4161","0.5536","","{""crack"": 0.0268, ""dust"": 0.0268, ""fold"": 0.0471, ""missing_region"": 0.0263, ""mold"": 0.0396, ""scratch"": 0.0277, ""stain"": 0.0871, ""tear"": 0.051}","{}"
"cma_155857","0035.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8423","0.8249","0.9368","0.8428","0.9664","0.9689","0.9435","0.8887","0.9900","0.9900","0.9900","0.9196","0.9892","0.5677","0.0159","0.0150","0.0223","0.0161","0.0245","0.0156","0.0574","0.0210","0.0552","0.0886","0.3182","0.8666","0.4836","0.7316","","{""crack"": 0.015, ""dust"": 0.0161, ""fold"": 0.0223, ""missing_region"": 0.021, ""mold"": 0.0156, ""scratch"": 0.0159, ""stain"": 0.0245, ""tear"": 0.0574}","{}"
"cma_156283","0036.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.7920","0.8408","0.7569","0.7755","0.8394","0.8840","0.8907","0.8475","0.9900","0.9900","0.9900","0.8621","0.9889","0.7879","0.0307","0.0100","0.0929","0.0353","0.1077","0.0867","0.0914","0.0372","0.0000","0.1240","0.3182","0.8390","0.4971","0.7762","","{""crack"": 0.01, ""dust"": 0.0353, ""fold"": 0.0929, ""missing_region"": 0.0372, ""mold"": 0.0867, ""scratch"": 0.0307, ""stain"": 0.1077, ""tear"": 0.0914}","{}"
"cma_156525","0037.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.7497","0.7784","0.9028","0.8005","0.8231","0.9250","0.9317","0.8147","0.9900","0.9900","0.9900","0.8480","0.9899","0.9888","0.0411","0.0278","0.0445","0.0288","0.1128","0.0644","0.0673","0.0475","0.0000","0.0866","0.3182","0.8340","0.3953","1.0000","","{""crack"": 0.0278, ""dust"": 0.0288, ""fold"": 0.0445, ""missing_region"": 0.0475, ""mold"": 0.0644, ""scratch"": 0.0411, ""stain"": 0.1128, ""tear"": 0.0673}","{}"
"cma_157339","0038.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8485","0.8559","0.9237","0.8508","0.9645","0.9680","0.9637","0.8865","0.9900","0.9900","0.9900","0.9197","0.9897","0.8701","0.0138","0.0048","0.0321","0.0134","0.0278","0.0174","0.0328","0.0220","0.1072","0.1079","0.3182","0.8667","0.4485","0.8021","","{""crack"": 0.0048, ""dust"": 0.0134, ""fold"": 0.0321, ""missing_region"": 0.022, ""mold"": 0.0174, ""scratch"": 0.0138, ""stain"": 0.0278, ""tear"": 0.0328}","{}"
"cma_157680","0039.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8349","0.8550","0.9202","0.8505","0.9523","0.9454","0.9571","0.8583","0.9900","0.9900","0.9900","0.7153","0.9897","0.9897","0.0183","0.0051","0.0344","0.0135","0.0447","0.0478","0.0423","0.0334","0.2477","0.2596","0.3182","0.7993","0.4364","0.3788","","{""crack"": 0.0051, ""dust"": 0.0135, ""fold"": 0.0344, ""missing_region"": 0.0334, ""mold"": 0.0478, ""scratch"": 0.0183, ""stain"": 0.0447, ""tear"": 0.0423}","{}"
"cma_159071","0040.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.7748","0.7866","0.8455","0.7735","0.6394","0.8938","0.7988","0.8348","0.9900","0.9900","0.9889","0.8496","0.9900","0.8997","0.0351","0.0257","0.0683","0.0358","0.1544","0.0822","0.1233","0.0414","0.2063","0.0087","0.5365","0.6855","0.3568","0.8153","","{""crack"": 0.0257, ""dust"": 0.0358, ""fold"": 0.0683, ""missing_region"": 0.0414, ""mold"": 0.0822, ""scratch"": 0.0351, ""stain"": 0.1544, ""tear"": 0.1233}","{}"
"cma_159467","0041.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7909","0.8253","0.7826","0.7707","0.8254","0.8734","0.8712","0.8016","0.9899","0.9900","0.9900","0.6301","0.9899","0.9883","0.0310","0.0149","0.0866","0.0365","0.1121","0.0912","0.0998","0.0512","0.3435","0.0798","0.3182","0.7373","0.4067","0.4540","","{""crack"": 0.0149, ""dust"": 0.0365, ""fold"": 0.0866, ""missing_region"": 0.0512, ""mold"": 0.0912, ""scratch"": 0.031, ""stain"": 0.1121, ""tear"": 0.0998}","{}"
"cma_159470","0042.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8186","0.8078","0.9007","0.8042","0.9219","0.9345","0.8830","0.8533","0.9899","0.9900","0.9385","0.9637","0.9900","0.9889","0.0233","0.0200","0.0456","0.0278","0.0707","0.0574","0.0949","0.0352","0.3355","0.2489","0.6995","0.6103","0.3177","0.4383","","{""crack"": 0.02, ""dust"": 0.0278, ""fold"": 0.0456, ""missing_region"": 0.0352, ""mold"": 0.0574, ""scratch"": 0.0233, ""stain"": 0.0707, ""tear"": 0.0949}","{}"
"cma_160087","0043.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8453","0.8467","0.9387","0.8404","0.9474","0.9643","0.9457","0.8854","0.9900","0.9900","0.9900","0.9197","0.9899","0.9792","0.0149","0.0080","0.0207","0.0169","0.0500","0.0240","0.0552","0.0225","0.0880","0.0608","0.3181","0.8667","0.4027","0.5328","","{""crack"": 0.008, ""dust"": 0.0169, ""fold"": 0.0207, ""missing_region"": 0.0225, ""mold"": 0.024, ""scratch"": 0.0149, ""stain"": 0.05, ""tear"": 0.0552}","{}"
"cma_160778","0044.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8402","0.8539","0.9219","0.8544","0.9611","0.9547","0.9597","0.8428","0.9899","0.9900","0.9847","0.6431","0.9899","0.9900","0.0166","0.0055","0.0333","0.0121","0.0332","0.0376","0.0388","0.0388","0.3637","0.0583","0.6026","0.7349","0.3716","0.2664","","{""crack"": 0.0055, ""dust"": 0.0121, ""fold"": 0.0333, ""missing_region"": 0.0388, ""mold"": 0.0376, ""scratch"": 0.0166, ""stain"": 0.0332, ""tear"": 0.0388}","{}"
"cma_163453","0045.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.7863","0.8169","0.8748","0.7779","0.8073","0.8185","0.8827","0.8304","0.9900","0.9900","0.9900","0.5255","0.9897","0.9326","0.0322","0.0174","0.0574","0.0347","0.1174","0.1100","0.0950","0.0428","0.2579","0.2987","0.3182","0.7643","0.4357","0.6043","","{""crack"": 0.0174, ""dust"": 0.0347, ""fold"": 0.0574, ""missing_region"": 0.0428, ""mold"": 0.11, ""scratch"": 0.0322, ""stain"": 0.1174, ""tear"": 0.095}","{}"
"cma_680650","0046.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0.8141","0.7897","0.8934","0.8212","0.9539","0.9604","0.9505","0.8817","0.9900","0.9899","0.9900","0.9009","0.9898","0.9829","0.0246","0.0249","0.0492","0.0229","0.0428","0.0300","0.0503","0.0241","0.2964","0.3156","0.3182","0.8559","0.4345","0.5151","","{""crack"": 0.0249, ""dust"": 0.0229, ""fold"": 0.0492, ""missing_region"": 0.0241, ""mold"": 0.03, ""scratch"": 0.0246, ""stain"": 0.0428, ""tear"": 0.0503}","{}"
"digitaltmuseum_S-UM_ED05974","0047.png","existing_damage","black_white","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8525","0.8671","0.9361","0.8780","0.9531","0.9659","0.9619","0.9010","0.9900","0.9900","0.9900","0.9196","0.9696","0.6743","0.0124","0.0006","0.0229","0.0030","0.0437","0.0212","0.0355","0.0150","0.0013","0.0000","0.3183","0.8666","0.6195","0.7510","","{""crack"": 0.0006, ""dust"": 0.003, ""fold"": 0.0229, ""missing_region"": 0.015, ""mold"": 0.0212, ""scratch"": 0.0124, ""stain"": 0.0437, ""tear"": 0.0355}","{}"
